product_id,product_title,rating,total_reviews,price,top_reviews
itm7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",4.6,793,"₹74,900","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 7 months ago 234 67 Permalink Report Abuse || 5 Brilliant Doing good as of now! READ MORE Disha Singh Certified Buyer , Agartala 4 months ago 150 41 Permalink Report Abuse"
itm2b7be11cfadef,"Apple iPhone 16 (Teal, 256 GB)",4.6,793,"₹84,900","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 7 months ago 234 67 Permalink Report Abuse || 5 Brilliant Doing good as of now! READ MORE Disha Singh Certified Buyer , Agartala 4 months ago 150 41 Permalink Report Abuse"
itm6ac6485515ae4,"Apple iPhone 15 (Black, 128 GB)",4.6,"9,412","₹64,900","5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 915 204 Permalink Report Abuse || 5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4359 1073 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 694 154 Permalink Report Abuse || 5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 774 174 Permalink Report Abuse || 5 Must buy! Nice 👌 READ MORE CHETAN  TILWALIA Certified Buyer , Loni Apr, 2024 82 12 Permalink Report Abuse"
itm7579ed94ca647,"Apple iPhone 15 (Pink, 128 GB)",4.6,"9,412","₹64,900","5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 915 204 Permalink Report Abuse || 5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4359 1073 Permalink Report Abuse || 5 Excellent Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life. 60Hz display is a dealbreaker for some.Its not much noticeable. Thank u Flipkart for the best deal and quick delivery. READ MORE Arunji Govindaraju Certified Buyer , Chennai Feb, 2024 694 154 Permalink Report Abuse || 5 Fabulous! Awesome 😎 READ MORE Thakur Surya Pratap Singh Certified Buyer , Hanumana 7 months ago 774 174 Permalink Report Abuse || 5 Must buy! Nice 👌 READ MORE CHETAN  TILWALIA Certified Buyer , Loni Apr, 2024 82 12 Permalink Report Abuse"
